participant,standingLandmark,facingLandmark,targetLandmark,latency,roundNumber,TrialNumber,horizontalTargetAngle,horizontalJRDFacingAngle,horizontalJRDCorrectAngle,horizontalPointingAngle,horizontalPointingError,horizontalAbsPointingError,verticalTargetAngle,verticalPointingAngle,verticalPointingError,verticalAbsPointingError
33,wine bottle,framed photo,teapot,34.5136,1,1,54.33349,31.31238,16.76492,29.61934,12.85442,12.85442,25.12598,-1.785835,-26.91181,26.91181
33,framed photo,wine bottle,laptop,24.3213,1,2,302.6386,28.42043,82.17809,112.7194,30.54134,30.54134,22.29409,6.40332,-15.89077,15.89077
33,laptop,teapot,books,14.68773,1,3,118.6345,97.4732,100.125,98.23571,358.1107,1.889252,-53.77258,5.608475,59.38106,59.38106
44,framed photo,wine bottle,laptop,5.443672,1,1,302.6386,48.10043,101.8581,318.8867,217.0286,142.9714,22.29409,6.817566,-15.47652,15.47652
44,wine bottle,framed photo,teapot,12.3209,1,2,54.33349,346.0259,331.4785,228.9132,257.4347,102.5653,25.12598,1.913895,-23.21208,23.21208
44,laptop,teapot,books,16.49742,1,3,118.6345,261.6077,264.2595,169.1469,264.8874,95.11258,-53.77258,-5.88681,47.88577,47.88577
22,framed photo,wine bottle,laptop,56.04965,1,1,302.6386,121.1491,174.9067,233.9255,59.01881,59.01881,22.29409,35.11737,12.82328,12.82328
22,laptop,teapot,books,14.91075,1,2,118.6345,211.4582,214.11,160.2854,306.1754,53.82458,-53.77258,-67.05482,-13.28224,13.28224
22,wine bottle,framed photo,teapot,11.29044,1,3,54.33349,177.4756,162.9282,172.0696,9.141418,9.141418,25.12598,41.91357,16.78759,16.78759
34,laptop,teapot,books,27.46802,1,1,118.6345,145.7727,148.4245,129.0762,340.6517,19.34833,-53.77258,-59.0791,-5.306519,5.306519
34,framed photo,wine bottle,laptop,40.72199,1,2,302.6386,134.176,187.9337,223.6245,35.69086,35.69086,22.29409,37.39378,15.09969,15.09969
34,wine bottle,framed photo,teapot,15.77376,1,3,54.33349,219.3412,204.7937,158.7525,313.9588,46.04118,25.12598,29.03877,3.912796,3.912796
55,framed photo,wine bottle,laptop,0.5150528,1,1,302.6386,173.2928,227.0504,170.3099,303.2595,56.74055,22.29409,3.095215,-19.19888,19.19888
55,wine bottle,framed photo,teapot,0.2087259,1,2,54.33349,172.7445,158.197,167.9283,9.731247,9.731247,25.12598,-5.170311,-30.29629,30.29629
55,laptop,teapot,books,0.2782927,1,3,118.6345,172.8761,175.5279,168.2895,352.7617,7.238358,-53.77258,-4.783653,48.98893,48.98893
00,framed photo,wine bottle,laptop,22.88733,1,1,302.6386,183.7325,237.4902,73.15204,195.6619,164.3381,22.29409,-35.90292,-58.19701,58.19701
00,laptop,teapot,books,16.74853,1,2,118.6345,186.5856,189.2373,282.054,92.8167,92.8167,-53.77258,-47.9395,5.833084,5.833084
00,wine bottle,framed photo,teapot,11.36023,1,3,54.33349,190.1272,175.5798,95.14574,279.566,80.43404,25.12598,13.68137,-11.44461,11.44461
11,wine bottle,framed photo,teapot,1.865654,1,1,54.33349,108.1328,93.58539,108.511,14.92561,14.92561,25.12598,1.867661,-23.25832,23.25832
11,framed photo,wine bottle,laptop,4.508192,1,2,302.6386,105.9646,159.7223,100.7877,301.0655,58.93452,22.29409,-4.608856,-26.90295,26.90295
11,laptop,teapot,books,8.145645,1,3,118.6345,103.5605,106.2123,105.7365,359.5243,0.4757385,-53.77258,-3.502136,50.27045,50.27045
38,wine bottle,framed photo,teapot,2.937046,1,1,54.33349,138.8929,124.3454,93.05064,328.7052,31.29479,25.12598,11.45356,-13.67242,13.67242
38,laptop,teapot,books,0.7657795,1,2,118.6345,129.3306,131.9824,114.6655,342.6832,17.31682,-53.77258,8.650238,62.42282,62.42282
38,framed photo,wine bottle,laptop,1.057817,1,3,302.6386,137.4091,191.1667,24.09506,192.9283,167.0717,22.29409,4.850471,-17.44362,17.44362
38,camera,fire extinguisher,potted plant,14.33935,2,1,164.9893,38.11903,113.2401,359.1472,245.9071,114.0929,-0.1085663,21.86499,21.97356,21.97356
38,coffee machine,computer monitor,camera,0.0138092,2,2,244.2221,25.27646,177.1671,72.77643,255.6093,104.3907,-67.08681,2.752228,69.83904,69.83904
38,speaker,phone,computer monitor,0.2786942,2,3,30.58375,32.35837,332.918,9.795156,36.87717,36.87717,21.17006,14.12028,-7.049782,7.049782
38,camera,fire extinguisher,microwave,0.3758163,2,4,200.3869,13.61167,124.1303,37.35618,273.2259,86.77412,23.84135,15.09217,-8.749176,8.749176
38,potted plant,desk lamp,microwave,0.9607162,2,5,269.2726,26.75542,58.92821,305.3964,246.4682,113.5318,36.58951,9.995483,-26.59403,26.59403
38,camera,fire extinguisher,electric fan,0.5848312,2,6,227.9075,318.4784,96.51764,59.43039,322.9128,37.08725,63.97948,-4.439178,-68.41866,68.41866
38,potted plant,football,desk lamp,3.870552,2,7,237.0998,70.30178,170.9663,333.7668,162.8005,162.8005,0.2360687,2.86866,2.632591,2.632591
38,coffee machine,computer monitor,electric fan,5.582512,2,8,235.4784,342.5144,125.6614,325.4819,199.8205,160.1795,-0.0629425,-0.9159012,-0.8529587,0.8529587
38,coffee machine,computer monitor,desk globe,2.15773,2,9,208.7932,343.2693,99.73105,320.7536,221.0226,138.9774,-0.08623505,-2.781937,-2.695702,2.695702
38,computer monitor,electric fan,desk globe,0.1775742,2,10,224.6153,344.8117,323.508,292.3762,328.8682,31.13177,0.125618,4.444855,4.319237,4.319237
38,camera,fire extinguisher,desk globe,0.4036407,2,11,188.1904,290.2215,28.54364,354.7657,326.222,33.77798,55.1091,-6.663971,-61.77307,61.77307
38,desk lamp,football,potted plant,2.715073,2,12,57.09976,336.9711,304.0716,302.2862,358.2146,1.78537,-0.2360764,-13.03966,-12.80358,12.80358
38,desk lamp,football,fire extinguisher,0.5425415,2,13,36.17024,340.4175,286.5884,273.4559,346.8674,13.13257,0.02614594,-0.5612335,-0.5873795,0.5873795
38,speaker,phone,camera,0.01374817,2,14,354.3015,278.9359,183.2132,312.9816,129.7684,129.7684,-27.86528,-3.368889,24.49639,24.49639
38,desk lamp,football,camera,0.195015,2,15,11.00486,288.8431,209.8486,250.8417,40.99304,40.99304,-0.0266037,-6.003136,-5.976532,5.976532
38,coffee machine,electric fan,computer monitor,0.0141449,2,16,92.33143,287.4031,144.2562,215.0286,70.77246,70.77246,-0.646431,-0.1797333,0.4666977,0.4666977
38,coffee machine,computer monitor,fire extinguisher,0.8355484,2,17,115.8066,214.572,238.0471,342.0331,103.986,103.986,-67.27293,11.13802,78.41095,78.41095
38,electric fan,coffee machine,phone,1.475731,2,18,123.5339,328.4447,36.50018,247.6166,211.1164,148.8836,-24.73872,12.72081,37.45953,37.45953
38,desk lamp,potted plant,speaker,0.195015,2,19,37.9577,265.6931,246.551,337.8129,91.26187,91.26187,39.78211,6.905632,-32.87648,32.87648
38,coffee machine,computer monitor,potted plant,5.346382,2,20,184.6011,267.559,359.8286,342.7277,342.8991,17.10092,-39.00632,4.784103,43.79042,43.79042
38,desk lamp,football,microwave,0.5984879,2,21,341.2221,279.2967,170.5195,359.3591,188.8396,171.1604,53.36362,18.90421,-34.45941,34.45941
38,football,potted plant,computer monitor,0.01369476,2,22,4.509077,292.8181,340.892,245.1734,264.2814,95.71861,32.21003,25.72443,-6.485596,6.485596
